method,runs,evaluations_per_run,fitness_mean,fitness_sd,convergence_auc_mean,convergence_auc_sd,modules_mean,modules_sd,seconds_mean,seconds_sd,final_unique_fraction_mean,final_unique_fraction_sd,final_mean_modules_mean,final_mean_modules_sd
ea_k2,2,60,15.84320977351766,1.0732086413117348,16.256698213379533,0.894506153401747,9.5,3.5355339059327378,0.32571515000017826,0.09539103823485859,0.95,0.07071067811865474,8.6,3.252691193458119
ea_k5,2,60,14.773957196995477,0.43315479998920425,15.565571652772146,0.5194040503796308,10.5,0.7071067811865476,0.2101395500012586,0.008194165512323345,0.95,0.07071067811865474,10.5,0.5656854249492386
random,2,60,15.83263660930673,0.004610432986599258,16.11254492402701,0.15074689321473062,9.5,0.7071067811865476,0.12203059999956167,0.0036763895773026874,0.95,0.07071067811865474,9.2,1.979898987322333
