method,generation,evaluations,best_so_far_mean,best_so_far_sd,unique_fraction_mean,unique_fraction_sd,mean_modules_mean,mean_modules_sd
ea_k2,0,10,16.807024966565724,1.1061685649818604,1.0,0.0,10.4,0.141421356237309
ea_k2,1,20,16.76642236432553,1.099881011923497,0.95,0.07071067811865474,9.25,1.6263455967290599
ea_k2,2,30,16.161490094141318,0.6230922952493018,1.0,0.0,9.0,2.8284271247461903
ea_k2,3,40,16.063870355540182,0.7611474535343418,1.0,0.0,8.05,2.474873734152917
ea_k2,4,50,15.966590882848946,0.8987214031547931,1.0,0.0,8.6,3.5355339059327378
ea_k2,5,60,15.84320977351766,1.0732086413117348,0.95,0.07071067811865474,8.6,3.252691193458119
ea_k5,0,10,16.807024966565724,1.1061685649818604,1.0,0.0,10.4,0.141421356237309
ea_k5,1,20,16.18095323892083,0.5804119419568803,1.0,0.0,11.600000000000001,0.4242640687119283
ea_k5,2,30,15.502583904633397,0.27918851949819296,0.95,0.07071067811865474,9.45,0.9192388155425111
ea_k5,3,40,15.363754523442218,0.22896585145072507,0.95,0.07071067811865474,10.2,1.5556349186104053
ea_k5,4,50,14.990075515083692,0.7387922565068207,1.0,0.0,9.85,1.0606601717798212
ea_k5,5,60,14.773957196995477,0.43315479998920425,0.95,0.07071067811865474,10.5,0.5656854249492386
random,0,10,16.807024966565724,1.1061685649818604,1.0,0.0,10.4,0.141421356237309
random,1,20,16.46156051118477,0.6176080468642853,0.95,0.07071067811865474,10.1,2.969848480983499
random,2,30,15.927111107004679,0.1382175489294239,1.0,0.0,11.15,2.4748737341529163
random,3,40,15.927111107004679,0.1382175489294239,1.0,0.0,9.35,0.3535533905932738
random,4,50,15.927111107004679,0.1382175489294239,1.0,0.0,9.600000000000001,0.9899494936611668
random,5,60,15.83263660930673,0.004610432986599258,0.95,0.07071067811865474,9.2,1.979898987322333
