generation,evaluations,best_so_far,population_best,population_mean,population_worst,unique_fraction,mean_modules,best_modules
0,10,16.024845673131658,16.024845673131658,17.340993439743826,18.647288270665545,1.0,10.3,14
1,20,15.988689042296102,15.988689042296102,16.735442934065553,17.81188793773054,1.0,10.4,11
2,30,15.720897306865446,15.720897306865446,16.441638855429286,17.696150997149434,1.0,11,11
3,40,15.525657829663178,15.525657829663178,16.095412810927453,16.642810150121694,1.0,9.8,9
4,50,15.331098884280703,15.331098884280703,16.085326041716296,16.757271787481876,1.0,11.1,10
5,60,15.084336665618132,15.084336665618132,16.091037148139826,17.10208288141719,0.9,10.9,12
