generation,evaluations,best_so_far,population_best,population_mean,population_worst,unique_fraction,mean_modules,best_modules
0,50,15.8293765408777,15.8293765408777,18.30424162197078,21.540658617698014,0.92,9.46,10
1,100,15.531300056749533,15.531300056749533,17.883168964834535,20.648199740725325,0.94,10.82,11
2,150,15.531300056749533,15.770540018881466,18.135592560973947,22.904996878900157,1.0,10.04,11
3,200,15.531300056749533,15.715339366124404,18.28211345003831,21.37571129984594,0.96,10.04,11
4,250,15.529822128134704,15.529822128134704,18.184711409569104,20.297057550292603,1.0,11.22,12
5,300,15.529822128134704,15.788078318274383,18.144641289476652,20.932575659723035,0.96,10.54,12
6,350,15.529822128134704,16.176575213227444,18.03819388476104,21.377193921634788,0.94,9.14,12
7,400,15.529822128134704,15.567815921162742,18.081544142646244,20.841653005427766,1.0,9.92,12
8,450,15.529822128134704,15.833907960581373,17.973103479532828,20.648199740725325,1.0,10.52,12
9,500,15.529822128134704,15.611887937730538,17.77589238097861,21.540658617698014,0.98,9.54,12
10,550,15.529822128134704,15.887467277262665,18.01431660753975,22.563705936241092,1.0,11,12
11,600,15.529822128134704,16.029822128134704,18.227456500209644,21.8,0.98,9.9,12
12,650,15.243835071544513,15.243835071544513,18.35953218759199,20.81567916624939,0.94,10.72,9
13,700,15.243835071544513,15.252272056851645,18.309190388141484,21.37175030543074,0.96,10.72,9
14,750,14.024845673131658,14.024845673131658,18.13144549542274,20.753720459187964,0.96,11.76,12
15,800,14.024845673131658,14.593468988235944,18.25850819494872,20.88239052790439,0.98,11.22,12
16,850,14.024845673131658,15.622611077089287,17.97835616386834,21.411871208194288,1.0,11.34,12
17,900,14.024845673131658,15.58656334834051,18.32597983341101,22.343024810940587,1.0,9.64,12
18,950,14.024845673131658,16.106750598570127,18.0183533647755,22.495943722515268,1.0,10.94,12
19,1000,14.024845673131658,16.060701700396553,18.0564551985122,21.062977544445356,0.98,10.38,12
20,1050,14.024845673131658,14.868787265568827,18.142035091862915,21.315587038162708,0.98,10.16,12
21,1100,14.024845673131658,15.644994432064365,18.261203727912,20.801514803843837,0.9,8.88,12
22,1150,14.024845673131658,16.092492955535427,18.23659996961829,21.03315017762062,0.96,9.3,12
23,1200,14.024845673131658,16.207492981902774,17.975399734607556,20.648199740725325,0.96,10.04,12
24,1250,14.024845673131658,15.774928570845471,18.188750846066824,22.003569153775235,0.98,10.24,12
25,1300,14.024845673131658,14.39799919935936,18.042899567045588,20.993468988235943,0.98,11.32,12
26,1350,14.024845673131658,15.623105625617661,18.22854751115166,21.969817807045693,0.96,10.24,12
27,1400,14.024845673131658,14.991153452528778,18.229548149644508,22.0153393661244,1.0,11.72,12
28,1450,14.024845673131658,15.720743687382042,18.65161642930295,21.139736830714135,0.86,10.8,12
29,1500,14.024845673131658,15.837087712930805,18.21702187634594,21.70936130717624,1.0,12.02,12
30,1550,14.024845673131658,15.503569153775237,18.216011574250526,21.122611077089285,0.98,11.12,12
31,1600,14.024845673131658,14.597617696340304,17.87061997296465,20.648199740725325,1.0,8.98,12
32,1650,14.024845673131658,15.629888335921976,18.3330005516316,21.5731721238443,0.98,10.66,12
33,1700,14.024845673131658,15.752396473549934,17.826161249669575,20.949545416973503,0.96,10.26,12
34,1750,14.024845673131658,15.0732137494637,18.22373833041523,20.840930106817048,0.98,10.8,12
35,1800,14.024845673131658,15.657271787481875,18.132595977323064,21.12574776766556,0.96,10.28,12
36,1850,14.024845673131658,15.752610922848042,17.987858300334782,21.16794833886788,1.0,9.92,12
37,1900,14.024845673131658,15.786335345030997,18.1032911762173,21.564965543462904,0.94,10.82,12
38,1950,14.024845673131658,15.82099463490856,18.330365916018287,21.573213749463704,0.94,10.66,12
39,2000,14.024845673131658,15.428991560298224,17.68830715939733,20.648199740725325,1.0,11.76,12
40,2050,14.024845673131658,15.937924020083418,18.12930588524236,21.015167380558044,0.92,10.26,12
41,2100,14.024845673131658,15.673592452822643,18.398490801843945,21.595451410656818,0.96,9.92,12
42,2150,14.024845673131658,15.131098884280703,18.00440497804269,20.970540018881465,1.0,11.68,12
43,2200,14.024845673131658,15.815587038162704,18.27961365673007,20.659326868617086,0.92,10.38,12
44,2250,14.024845673131658,16.315587038162704,18.50245748284785,23.420526275297412,0.94,10.4,12
45,2300,14.024845673131658,16.1,18.424097337892725,21.2343879744639,0.98,10.76,12
46,2350,14.024845673131658,15.456141357987224,18.058239379721883,20.648199740725325,0.94,10.58,12
47,2400,14.024845673131658,14.991015291668743,17.951389100590003,22.130495168499706,0.98,11.9,12
48,2450,14.024845673131658,16.08072158238645,18.304674248778074,21.099999999999998,0.98,11.2,12
49,2500,14.024845673131658,15.563705936241092,18.338207136246584,20.917800560721076,0.9,11.12,12
50,2550,14.024845673131658,15.530727575266251,18.008771635021304,21.22574776766556,1.0,11.82,12
51,2600,14.024845673131658,15.957066051117286,18.531422549620377,21.340063693621516,0.96,11.52,12
52,2650,14.024845673131658,15.08485705712571,18.344901627296103,21.082207001484488,1.0,11.16,12
53,2700,14.024845673131658,15.584250278036869,18.054293586432703,21.77883913531174,0.94,9.94,12
54,2750,14.024845673131658,15.774868417407584,18.126789753005877,21.09136645896019,0.94,8.64,12
55,2800,14.024845673131658,15.561455150532504,18.32414513984123,21.294733192202056,0.94,11.28,12
56,2850,14.024845673131658,15.683281572999748,17.74127501240624,20.697221149720992,1.0,11.46,12
57,2900,14.024845673131658,15.449705872175155,18.07010332984821,22.05474398665704,0.96,10.24,12
58,2950,14.024845673131658,15.449576240750524,18.172908691796817,21.039387691339815,0.92,10.42,12
59,3000,14.024845673131658,15.034192325759246,18.12072142735165,21.742787793912434,1.0,10.82,12
60,3050,14.024845673131658,15.065941943351179,17.91063799654433,21.956141357987224,1.0,11.14,12
61,3100,14.024845673131658,16.034387974463897,18.278069690061013,20.717800560721074,0.94,9.88,12
62,3150,14.024845673131658,15.679215610874227,18.184700906467587,21.27488738510232,0.96,11.3,12
63,3200,14.024845673131658,16.0,18.448413360008104,22.57967389859482,0.98,11.12,12
64,3250,14.024845673131658,16.20509938737229,18.175944910419926,21.793325909419153,1.0,10.7,12
65,3300,14.024845673131658,15.426109321823088,18.19656235468602,21.088078318274384,0.92,9.62,12
66,3350,14.024845673131658,15.654119014694281,18.220181342859973,21.05277655408689,0.96,9.78,12
67,3400,14.024845673131658,14.237663853655727,18.38564186365749,21.03315017762062,0.96,9.94,12
68,3450,14.024845673131658,15.360319135392633,18.01697322124965,21.572077843177475,1.0,11.5,12
69,3500,14.024845673131658,16.424099870362664,18.416083234456252,20.82654919008431,0.94,10.82,12
70,3550,14.024845673131658,14.867156809750927,18.08134338083993,21.252396473549936,1.0,12.32,12
71,3600,14.024845673131658,15.876388603226827,18.053168760538494,22.182461550347973,1.0,9.86,12
72,3650,14.024845673131658,16.227566688249706,18.284174548312873,20.648199740725325,0.96,9.74,12
73,3700,14.024845673131658,15.282461550347977,18.118786963116218,21.864054992217053,0.92,9.84,12
74,3750,14.024845673131658,16.173592452822643,18.45276612320635,21.34604989415154,1.0,11.34,12
75,3800,14.024845673131658,15.857066051117284,18.202409556607357,21.595451410656818,1.0,12.2,12
76,3850,14.024845673131658,15.262617290749906,18.313054308285036,20.648199740725325,0.94,9.86,12
77,3900,14.024845673131658,15.729872518944557,18.14238336625907,21.93630833845388,0.96,10.8,12
78,3950,14.024845673131658,15.469313659514949,18.288037700223644,20.648199740725325,0.94,10.2,12
79,4000,14.024845673131658,15.614674215792775,17.922621739383608,20.8,0.98,10.7,12
80,4050,14.024845673131658,16.69722114972099,18.651202585331767,20.856349099818896,0.94,10.96,12
81,4100,14.024845673131658,15.58494332412792,18.37838412267973,21.617935662402836,0.86,10.16,12
82,4150,14.024845673131658,15.526368339802362,18.34724815502501,20.845207879911715,0.96,9.86,12
83,4200,14.024845673131658,15.209361307176243,18.29355702962622,20.730839160261237,0.94,10.02,12
84,4250,14.024845673131658,15.910405388322278,18.351616726054136,21.155592347112503,0.98,12.52,12
85,4300,14.024845673131658,15.82409987036266,18.051118863198532,21.567366884975478,0.98,10.26,12
86,4350,14.024845673131658,15.877193921634788,18.43304318441075,21.30675059857013,0.98,12.08,12
87,4400,14.024845673131658,15.144994432064365,18.220966133686794,21.021347195933174,0.98,11.28,12
88,4450,14.024845673131658,15.108607914449797,18.081915390349714,20.648199740725325,0.98,10.74,12
89,4500,14.024845673131658,15.920526275297414,18.422075065875543,22.585677655436825,0.94,10.16,12
90,4550,14.024845673131658,15.449637662132067,18.27532451896447,21.049444375840398,0.92,9.84,12
91,4600,14.024845673131658,15.346049894151541,17.976750540460927,20.648199740725325,0.98,10.7,12
92,4650,14.024845673131658,15.407567081708246,18.144221078820596,22.64699879903904,1.0,12.14,12
93,4700,14.024845673131658,16.09347363114234,18.117012589654042,21.3,0.98,10.92,12
94,4750,14.024845673131658,15.077154105707724,18.039740678264277,21.293325909419153,0.94,8.92,12
95,4800,14.024845673131658,16.049705872175156,18.29847787610104,21.955133376499415,0.96,11.14,12
96,4850,14.024845673131658,15.341653005427768,17.914550411630827,21.422649545167232,1.0,11.38,12
97,4900,14.024845673131658,15.679075450674064,18.162716184839102,20.80142828000232,0.96,10.7,12
98,4950,14.024845673131658,15.886819245752298,17.952515552083035,22.549691346263316,1.0,11.3,12
99,5000,14.024845673131658,14.864054992217051,18.051158207222276,21.12703841770968,1.0,10.96,12
100,5050,14.024845673131658,15.073644135332772,18.18657655582476,21.922902093797255,0.96,10.68,12
