generation,evaluations,best_so_far,population_best,population_mean,population_worst,unique_fraction,mean_modules,best_modules
0,50,15.509980079602226,15.509980079602226,18.151711642624626,20.768288736283353,1.0,10.9,13
1,100,15.029822128134704,15.029822128134704,16.665335848955625,19.140658617698016,1.0,10.92,11
2,150,14.953068523537421,14.953068523537421,16.404457255173792,19.254723699099138,1.0,10.64,10
3,200,14.91547594742265,14.91547594742265,16.029211946261185,18.483266665599963,0.98,11.66,10
4,250,14.8166247903554,14.8166247903554,15.967715456123582,18.549444375840398,0.96,10.94,12
5,300,14.489979919597747,14.489979919597747,15.938391120020748,18.45472369909914,0.98,10.82,11
6,350,14.489979919597747,14.489979919597747,15.596203952382162,17.845207879911715,1.0,11.14,11
7,400,14.489979919597747,14.489979919597747,15.876563332923316,19.549444375840398,1.0,10.44,11
8,450,14.277154105707723,14.277154105707723,15.811036862939865,18.61555394056826,1.0,10.78,14
9,500,14.277154105707723,14.277154105707723,15.405750316313837,17.40997512422418,0.98,11.6,14
10,550,14.277154105707723,14.277154105707723,15.958767987818314,20.183266665599966,0.94,11.56,14
11,600,13.859591794226542,13.859591794226542,15.306508915730149,17.64131112314674,0.98,12.08,14
12,650,13.727566688249707,13.727566688249707,15.47314048370197,18.109975124224178,1.0,12.58,14
13,700,13.727566688249707,13.727566688249707,15.65084078578911,18.85870331449229,1.0,12.5,14
14,750,13.727566688249707,13.727566688249707,15.298775729677478,17.729563014098698,0.96,12.54,14
15,800,13.727566688249707,13.727566688249707,15.391476606427831,17.842080668885405,0.98,13.58,14
16,850,13.727566688249707,13.727566688249707,15.134868833078237,18.862873883832776,0.96,13.6,14
17,900,13.493737745050923,13.493737745050923,15.16663996535417,17.67721372564786,0.96,12.9,14
18,950,13.048808848170152,13.048808848170152,15.003598059329606,18.134698994937583,1.0,13.52,13
19,1000,13.048808848170152,13.048808848170152,14.557461536735193,16.08121323515277,1.0,12.8,13
20,1050,13.048808848170152,13.048808848170152,14.710125351075066,17.07364413533277,0.98,12.62,13
21,1100,13.048808848170152,13.048808848170152,14.626780509310262,18.123724356957943,0.96,12.76,13
22,1150,13.048808848170152,13.048808848170152,14.89221621588591,17.878232998312527,0.98,12.74,13
23,1200,13.048808848170152,13.048808848170152,14.900917231687195,17.985575587824865,1.0,12.26,13
24,1250,13.048808848170152,13.048808848170152,14.555640323653472,17.475817632051932,0.98,12.7,13
25,1300,13.048808848170152,13.048808848170152,15.099302091785436,18.42756668824971,1.0,12.88,13
26,1350,13.048808848170152,13.048808848170152,14.528418180946325,17.167156809750928,0.94,13,13
27,1400,12.960232526704262,12.960232526704262,14.86164619477711,17.978232998312528,1.0,12.2,13
28,1450,12.960232526704262,12.960232526704262,14.628287023540462,17.76332495807108,1.0,12.24,13
29,1500,12.960232526704262,12.960232526704262,14.68243773740567,17.70087712549569,0.96,12.64,13
30,1550,12.960232526704262,12.960232526704262,14.541548741654228,17.047722557505168,0.96,12.22,13
31,1600,12.960232526704262,12.960232526704262,14.627749835046611,18.071779788708135,1.0,11.98,13
32,1650,12.869535971483266,12.869535971483266,14.623660036942269,17.662049935181333,1.0,12.7,13
33,1700,12.836660026534076,12.836660026534076,14.41945697331081,17.6567351858497,0.98,12.32,13
34,1750,12.836660026534076,12.836660026534076,14.715561933857115,17.479788728465174,0.98,12.28,13
35,1800,12.836660026534076,12.836660026534076,14.641889534776476,17.46215506675683,1.0,12.34,13
36,1850,12.836660026534076,12.836660026534076,14.388947887215519,17.434192325759245,1.0,12.02,13
37,1900,12.836660026534076,12.836660026534076,14.342602916184866,17.408175741568165,0.96,11.34,13
38,1950,12.544948974278318,12.544948974278318,14.560061111319653,17.814642819948226,1.0,12.46,14
39,2000,12.544948974278318,12.544948974278318,14.672346186307168,17.322611077089284,1.0,12.48,14
40,2050,12.544948974278318,12.544948974278318,14.398524045906674,16.948331477354788,1.0,13.2,14
