generation,evaluations,best_so_far,population_best,population_mean,population_worst,unique_fraction,mean_modules,best_modules
0,10,17.58920425999979,17.58920425999979,19.05912127420894,21.540658617698014,1.0,10.5,5
1,20,16.89827534923789,16.89827534923789,18.222414287538992,20.648199740725325,0.9,8,16
2,30,15.8293765408777,15.8293765408777,17.29584980966089,18.644832503882967,1.0,9.4,10
3,40,15.8293765408777,16.77594212184989,18.684166176564162,20.970540018881465,1.0,9.1,10
4,50,15.8293765408777,17.00365690573664,18.259656561880917,20.302172886644268,1.0,10.3,10
5,60,15.8293765408777,16.13901391331568,17.40769268479897,18.533907960581374,1.0,10.6,10
