generation,evaluations,best_so_far,population_best,population_mean,population_worst,unique_fraction,mean_modules,best_modules
0,10,17.58920425999979,17.58920425999979,19.05912127420894,21.540658617698014,1.0,10.5,5
1,20,16.59136645896019,16.59136645896019,17.49878740302664,18.33721152139079,1.0,11.3,13
2,30,15.700000000000001,15.700000000000001,16.927511900200532,17.869870314579494,1.0,8.8,8
3,40,15.525657829663178,15.525657829663178,16.280520863505107,17.12574776766556,1.0,9.1,11
4,50,15.512480529547776,15.512480529547776,15.993365406975833,16.68998886412873,1.0,9.1,9
5,60,15.080243893371346,15.080243893371346,15.684140431921723,16.46693988153255,0.9,10.1,10
