generation,evaluations,best_so_far,population_best,population_mean,population_worst,unique_fraction,mean_modules,best_modules
0,50,15.364054992217051,15.364054992217051,18.157584361688833,20.981742422927145,0.94,11.08,11
1,100,15.127038417709679,15.127038417709679,17.455878140493216,19.61555394056826,1.0,9.32,10
2,150,15.127038417709679,15.127038417709679,17.16431620500939,20.648199740725325,0.96,7.7,10
3,200,14.68910462845192,14.68910462845192,16.76894915058887,18.935613624582864,1.0,8.24,12
4,250,14.68910462845192,14.68910462845192,16.701177738846805,18.61555394056826,1.0,8.56,12
5,300,14.467670500619608,14.467670500619608,16.577879211935716,18.770615218501405,1.0,8.8,11
6,350,14.467670500619608,14.467670500619608,16.295365585895013,18.436774397026504,1.0,8.72,11
7,400,14.467670500619608,14.467670500619608,16.04861951653705,19.049666651850536,0.98,10.06,11
8,450,14.467670500619608,14.467670500619608,16.20106624166453,18.160319135392633,1.0,9.58,11
9,500,14.467670500619608,14.467670500619608,16.224433615846362,18.84707681233427,1.0,10.02,11
10,550,14.079075450674063,14.079075450674063,16.244576123262,18.61555394056826,1.0,10.18,11
11,600,14.079075450674063,14.079075450674063,16.276788846116943,18.260034129593443,0.98,9.32,11
12,650,14.079075450674063,14.079075450674063,16.312174151216933,18.526989472816158,1.0,9.04,11
13,700,14.079075450674063,14.079075450674063,16.529291518914363,19.549444375840398,1.0,9.72,11
14,750,13.923538406167134,13.923538406167134,16.388436143918177,18.71604843283959,1.0,9.36,12
15,800,13.923538406167134,13.923538406167134,16.569746314901128,19.417935662402833,0.98,9.24,12
16,850,13.923538406167134,13.923538406167134,16.207395102681378,17.96215506675683,0.98,9.46,12
17,900,13.923538406167134,13.923538406167134,16.05709894664765,17.917828762075256,1.0,9.42,12
18,950,13.923538406167134,13.923538406167134,16.172392257057563,19.00554700852678,1.0,9.48,12
19,1000,13.923538406167134,13.923538406167134,16.355227157332653,18.491015291668745,1.0,8.68,12
20,1050,13.377032961426902,13.377032961426902,15.728025892602084,17.251698748956503,1.0,9.88,13
21,1100,13.377032961426902,13.377032961426902,15.577252156567221,16.84767985741633,0.98,9.78,13
22,1150,13.377032961426902,13.377032961426902,15.64826974851082,17.746169849544817,0.98,9.9,13
23,1200,13.377032961426902,13.377032961426902,15.557501904605273,17.20087712549569,1.0,10.38,13
24,1250,13.377032961426902,13.377032961426902,15.986851393529259,17.800909015790026,0.98,10.6,13
25,1300,13.377032961426902,13.377032961426902,15.57305829881344,17.588409872672514,0.98,10.04,13
26,1350,13.377032961426902,13.377032961426902,15.809537077063444,18.173592452822643,1.0,10,13
27,1400,13.377032961426902,13.377032961426902,15.7996316706867,18.816609194718914,0.98,9.74,13
28,1450,13.377032961426902,13.377032961426902,15.615166324745026,18.561740355901136,0.98,9.56,13
29,1500,13.377032961426902,13.377032961426902,15.666549741633037,17.48634668973808,1.0,10.46,13
30,1550,13.377032961426902,13.377032961426902,15.576822834857982,17.479788728465174,1.0,10.02,13
31,1600,13.377032961426902,13.377032961426902,15.7054813725684,17.704235767650204,1.0,10.16,13
32,1650,13.377032961426902,13.377032961426902,15.871086325719503,17.380697580112788,1.0,9.76,13
33,1700,13.377032961426902,13.377032961426902,15.832047421223097,18.148008498577177,0.98,9.48,13
34,1750,13.377032961426902,13.377032961426902,15.863980128112456,18.016013544000806,1.0,10.18,13
35,1800,13.377032961426902,13.377032961426902,15.97663470362009,18.63527000944073,0.98,10.52,13
36,1850,13.377032961426902,13.377032961426902,15.632541416861876,18.20499791840097,1.0,10.48,13
37,1900,13.30384048104053,13.30384048104053,15.594498189786647,17.98171950981576,1.0,10.98,13
38,1950,13.30384048104053,13.30384048104053,15.553303627142288,16.921110992882646,1.0,11.28,13
39,2000,13.140967364599087,13.140967364599087,15.472825294830567,17.109251334519406,1.0,11.12,13
40,2050,13.140967364599087,13.140967364599087,15.341859306314422,17.183095189484533,1.0,11.08,13
41,2100,13.140967364599087,13.140967364599087,15.381317992044385,18.119195340279955,0.98,10.9,13
42,2150,13.140967364599087,13.140967364599087,15.345237849859775,17.178839135311737,1.0,10.54,13
43,2200,12.869535971483266,12.869535971483266,15.208042781497761,17.50454076850486,0.98,10.7,13
44,2250,12.869535971483266,12.869535971483266,15.23067548268714,17.2262252939418,1.0,11.18,13
45,2300,12.869535971483266,12.869535971483266,15.52971244655829,19.12565782966318,1.0,11.36,13
46,2350,12.869535971483266,12.869535971483266,15.665337539791574,18.495943722515268,1.0,11.04,13
47,2400,12.869535971483266,12.869535971483266,15.716858722815942,17.791812087098393,1.0,10.64,13
48,2450,12.869535971483266,12.869535971483266,15.74005629501552,18.07430975749267,1.0,10.54,13
49,2500,12.869535971483266,12.869535971483266,15.760367158152384,17.978505426185215,1.0,10.72,13
50,2550,12.869535971483266,12.869535971483266,15.660394857902157,17.516641025580334,1.0,10.46,13
51,2600,12.869535971483266,12.869535971483266,15.64477147038959,18.70199920063936,0.98,10.52,13
52,2650,12.869535971483266,12.869535971483266,15.441992599404387,18.52710574513201,1.0,10.8,13
53,2700,12.869535971483266,12.869535971483266,15.233128985147218,17.9,1.0,11.2,13
54,2750,12.869535971483266,12.869535971483266,15.16185390409364,17.590732788777423,1.0,11.06,13
55,2800,12.869535971483266,12.869535971483266,15.178044812109746,16.90805405358401,0.98,10.84,13
56,2850,12.869535971483266,12.869535971483266,15.302675240582483,18.461324772583616,0.98,10.84,13
57,2900,12.869535971483266,12.869535971483266,15.666291353042933,18.229872518944557,1.0,10.04,13
58,2950,12.869535971483266,12.869535971483266,15.88261567382811,18.482663407939977,1.0,9.98,13
59,3000,12.869535971483266,12.869535971483266,15.691057007465101,18.091656999213594,1.0,10.42,13
