generation,evaluations,best_so_far,population_best,population_mean,population_worst,unique_fraction,mean_modules,best_modules
0,10,16.024845673131658,16.024845673131658,17.340993439743826,18.647288270665545,1.0,10.3,14
1,20,16.024845673131658,16.18252262107277,18.12352958251759,20.830950643030008,1.0,12.2,14
2,30,16.024845673131658,16.176871642217915,18.10001392123947,21.807886552931954,1.0,12.9,14
3,40,16.024845673131658,16.70111097397076,18.333005743979616,20.91916017074176,1.0,9.6,14
4,50,16.024845673131658,16.19528091794949,17.90769847715446,19.680614856144977,1.0,8.9,14
5,60,15.83589667773576,15.83589667773576,17.90770462287188,20.648199740725325,0.9,7.8,9
