generation,evaluations,best_so_far,population_best,population_mean,population_worst,unique_fraction,mean_modules,best_modules
0,50,15.364054992217051,15.364054992217051,18.157584361688833,20.981742422927145,0.94,11.08,11
1,100,14.86124969497314,14.86124969497314,16.750712916968517,18.172150407425317,1.0,8.28,11
2,150,14.417935662402835,14.417935662402835,16.192730150612523,18.61555394056826,0.98,9.14,11
3,200,14.417935662402835,14.417935662402835,16.107922933729885,19.09193023216509,1.0,9.78,11
4,250,14.167156809750928,14.167156809750928,15.659668045017648,17.79283882771841,1.0,10.1,11
5,300,13.981488772222677,13.981488772222677,15.77507698876675,18.193737745050925,0.98,10.4,12
6,350,13.981488772222677,13.981488772222677,15.784021030269425,19.61555394056826,0.98,10.3,12
7,400,13.732050807568877,13.732050807568877,15.503725659541582,17.888585061331156,1.0,11.1,12
8,450,13.524845673131658,13.524845673131658,15.4386955017772,18.680614856144977,1.0,10.82,11
9,500,13.524845673131658,13.524845673131658,15.22435879338224,19.61555394056826,0.98,11.02,11
10,550,13.524845673131658,13.524845673131658,15.356305887443146,18.61555394056826,0.98,10.78,11
11,600,13.524845673131658,13.524845673131658,15.408531533264586,18.838211655780214,1.0,10.72,11
12,650,13.288854381999831,13.288854381999831,15.03390378037179,17.417828762075256,0.98,11.22,11
13,700,13.288854381999831,13.288854381999831,15.034068578359818,18.634698994937583,0.96,11.24,11
14,750,13.288854381999831,13.288854381999831,15.302807257491887,18.644832503882967,0.98,10.72,11
15,800,13.288854381999831,13.288854381999831,15.359146341813357,18.58113883008419,1.0,11,11
16,850,13.288854381999831,13.288854381999831,15.15732322205062,18.281488772222676,1.0,11.4,11
17,900,13.288854381999831,13.288854381999831,15.104255970702996,18.7343879744639,0.98,11.14,11
18,950,13.288854381999831,13.288854381999831,14.862395538467469,18.108059278067504,1.0,10.74,11
19,1000,13.288854381999831,13.288854381999831,14.835235688751489,17.890670590009258,0.96,11.16,11
20,1050,13.288854381999831,13.288854381999831,15.257383142961004,18.71882341631134,0.98,10.66,11
21,1100,13.288854381999831,13.288854381999831,15.018231468803075,18.586651818838305,0.98,10.68,11
22,1150,13.288854381999831,13.288854381999831,15.055739442251438,18.644832503882967,1.0,10.9,11
23,1200,13.288854381999831,13.288854381999831,15.130542069425228,18.305170109479995,1.0,10.34,11
24,1250,13.288854381999831,13.288854381999831,15.211687622116356,18.644832503882967,0.98,10.84,11
25,1300,13.288854381999831,13.288854381999831,15.120910010064199,16.542810150121692,0.98,10.5,11
26,1350,13.288854381999831,13.288854381999831,15.160416333037443,17.890670590009258,0.94,11.06,11
27,1400,13.288854381999831,13.288854381999831,15.052458792129565,18.771599450733447,0.94,10.36,11
28,1450,13.288854381999831,13.288854381999831,15.189477540234703,18.088409872672514,0.9,10.52,11
29,1500,13.288854381999831,13.288854381999831,14.627914393036951,18.644832503882967,0.92,10.96,11
30,1550,13.256465996625053,13.256465996625053,15.006059979905983,18.71882341631134,0.96,10.68,12
31,1600,13.256465996625053,13.256465996625053,14.827843553677289,17.936774397026504,1.0,10.8,12
32,1650,13.256465996625053,13.256465996625053,14.885130187309358,17.890670590009258,0.98,10.98,12
33,1700,13.256465996625053,13.256465996625053,14.925561279994106,18.771599450733447,0.98,10.66,12
34,1750,13.256465996625053,13.256465996625053,15.0843658257453,18.644832503882967,1.0,11.12,12
35,1800,13.22474487139159,13.22474487139159,15.149798181066354,18.71882341631134,0.94,11.22,12
36,1850,13.22474487139159,13.22474487139159,14.61909353955802,17.23382640840131,1.0,11.24,12
37,1900,13.22474487139159,13.22474487139159,14.593043065598312,18.020465053408525,1.0,11.76,12
38,1950,13.22474487139159,13.22474487139159,14.623907606455546,17.948331477354788,1.0,11.76,12
39,2000,13.16770782520313,13.16770782520313,14.543938818036668,18.144832503882967,1.0,11.42,12
40,2050,13.16770782520313,13.16770782520313,14.964618030270719,17.70332963783729,1.0,11.54,12
41,2100,13.16770782520313,13.16770782520313,14.582806770675225,17.671355310873647,0.96,11.42,12
42,2150,13.16770782520313,13.16770782520313,14.970063830579106,18.586651818838305,0.98,11.32,12
43,2200,13.16770782520313,13.16770782520313,14.862487213905059,18.27979589711327,0.98,11.5,12
44,2250,13.16770782520313,13.16770782520313,14.657210044440692,17.79150262212918,1.0,11.4,12
45,2300,13.16770782520313,13.16770782520313,14.575751959148462,17.11859355682789,0.96,11.22,12
46,2350,13.16770782520313,13.16770782520313,14.559682380444377,16.931390245600106,0.96,11.64,12
47,2400,13.16770782520313,13.16770782520313,14.664425012066687,17.81100668245266,0.96,11.44,12
48,2450,13.16770782520313,13.16770782520313,14.68034440610678,18.644832503882967,1.0,11.72,12
49,2500,13.16770782520313,13.16770782520313,15.09406098358122,18.771599450733447,0.96,11.3,12
50,2550,13.16770782520313,13.16770782520313,14.645231566585142,19.144994432064365,0.96,11.58,12
51,2600,13.16770782520313,13.16770782520313,14.484931904060057,18.673320053068153,0.98,11.68,12
52,2650,13.16770782520313,13.16770782520313,14.463026312536893,18.01893461039046,0.94,11.52,12
53,2700,13.16770782520313,13.16770782520313,14.230995612114427,17.734380858325927,0.94,11.68,12
54,2750,13.16770782520313,13.16770782520313,14.589555811015428,18.01604843283959,1.0,11.16,12
55,2800,13.16770782520313,13.16770782520313,14.441303239536005,16.367274898667695,1.0,11.22,12
56,2850,13.16770782520313,13.16770782520313,14.523552377458385,17.919090595827292,0.96,11.58,12
57,2900,13.16770782520313,13.16770782520313,15.093200432722782,18.97156333832011,0.98,11.18,12
58,2950,13.16770782520313,13.16770782520313,14.686969555709716,18.812282715974447,0.98,11.28,12
59,3000,13.16770782520313,13.16770782520313,14.758219399779643,17.51033561853358,0.98,11.8,12
60,3050,13.16770782520313,13.16770782520313,15.480289983324765,18.802541825349483,0.98,10.6,12
61,3100,12.799999999999999,12.799999999999999,14.939506425085991,18.83622914957372,1.0,10.56,13
62,3150,12.799999999999999,12.799999999999999,14.647354222361813,17.62664991614216,0.96,11.3,13
63,3200,12.799999999999999,12.799999999999999,14.751107380206943,18.45472369909914,0.96,11.68,13
64,3250,12.799999999999999,12.799999999999999,14.585836380490761,17.533030277982334,1.0,12.06,13
65,3300,12.799999999999999,12.799999999999999,14.85714112728482,18.83622914957372,1.0,11.72,13
66,3350,12.799999999999999,12.799999999999999,14.195209352874045,16.963332257370237,0.96,12.68,13
67,3400,12.799999999999999,12.799999999999999,14.448178493240697,17.382663407939976,1.0,12.6,13
68,3450,12.799999999999999,12.799999999999999,14.588461433821635,18.134791467339657,1.0,11.54,13
69,3500,12.68309518948453,12.68309518948453,14.454261461739142,18.10554700852678,0.96,11.88,13
70,3550,12.68309518948453,12.68309518948453,14.472250608182565,17.889990892524324,0.98,11.44,13
71,3600,12.68309518948453,12.68309518948453,14.162528806050114,15.97492857084547,1.0,12.28,13
72,3650,12.68309518948453,12.68309518948453,14.286033581297485,17.00740233383831,0.94,12.34,13
73,3700,12.68309518948453,12.68309518948453,14.19872668792796,16.676871642217915,1.0,12.02,13
74,3750,12.68309518948453,12.68309518948453,14.102374991888974,16.755804677345548,0.98,12.52,13
75,3800,12.68309518948453,12.68309518948453,14.594662137033747,18.672004514666934,1.0,12.62,13
76,3850,12.68309518948453,12.68309518948453,14.364603867157463,17.30489960724009,1.0,11.96,13
77,3900,12.589897948556635,12.589897948556635,14.540338474766877,17.864171097297422,0.98,12.26,13
78,3950,12.589897948556635,12.589897948556635,14.33974519417753,16.68957200593122,1.0,12.08,13
79,4000,12.589897948556635,12.589897948556635,14.101434494526922,17.62138772902208,0.96,12.02,13
80,4050,12.589897948556635,12.589897948556635,14.471936653773549,17.209901951359278,1.0,12.66,13
81,4100,12.589897948556635,12.589897948556635,14.177639036653876,15.560107523773826,0.9,12.62,13
82,4150,12.589897948556635,12.589897948556635,14.46018399931955,17.491153452528778,0.98,12.2,13
83,4200,12.589897948556635,12.589897948556635,14.28747806991878,17.671779788708136,0.96,12.5,13
84,4250,12.589897948556635,12.589897948556635,14.048870521632821,17.389990892524324,0.96,12.74,13
85,4300,12.589897948556635,12.589897948556635,13.98177530711684,16.584015371452146,1.0,12.98,13
86,4350,12.589897948556635,12.589897948556635,14.46974474763617,17.07364413533277,0.98,12.78,13
87,4400,12.589897948556635,12.589897948556635,14.155202070044911,16.97825728815866,1.0,12.78,13
88,4450,12.589897948556635,12.589897948556635,14.132905281070148,18.58446194559183,1.0,11.94,13
89,4500,12.589897948556635,12.589897948556635,14.271437263571366,17.090375708944393,1.0,12.18,13
90,4550,12.589897948556635,12.589897948556635,14.606750991686287,17.944366510251644,0.98,12,13
91,4600,12.589897948556635,12.589897948556635,14.399448866282468,17.66322060635023,0.98,12.04,13
92,4650,12.589897948556635,12.589897948556635,14.521026083307804,18.449137674618942,0.98,11.92,13
93,4700,12.589897948556635,12.589897948556635,14.905726819964796,18.71882341631134,0.98,11.84,13
94,4750,12.589897948556635,12.589897948556635,14.298478867750257,16.640967364599085,0.98,12.28,13
95,4800,12.589897948556635,12.589897948556635,13.990702997188217,15.816631205513229,0.94,12.9,13
96,4850,12.589897948556635,12.589897948556635,14.202978886622406,16.891153452528776,0.98,12.68,13
97,4900,12.589897948556635,12.589897948556635,14.228007560829536,15.840967364599086,1.0,12.56,13
98,4950,12.589897948556635,12.589897948556635,14.204227711562938,17.27314991723711,0.9,12.46,13
99,5000,12.589897948556635,12.589897948556635,14.372434321069218,17.825863986500217,0.98,12.46,13
100,5050,12.589897948556635,12.589897948556635,14.25467482031039,17.292838827718413,0.96,12.08,13
