generation,evaluations,best_so_far,population_best,population_mean,population_worst,unique_fraction,mean_modules,best_modules
0,50,15.364054992217051,15.364054992217051,18.157584361688833,20.981742422927145,0.94,11.08,11
1,100,15.364054992217051,15.576241517699842,18.269541019911273,20.956141357987224,0.9,10.34,11
2,150,15.364054992217051,15.729872518944557,18.267830492268203,21.32232783924049,0.94,10.12,11
3,200,15.364054992217051,15.96693988153255,18.431825980714482,21.995451410656816,0.96,10.86,11
4,250,14.949545416973503,14.949545416973503,18.454068237887405,21.605551275463988,0.94,10.28,10
5,300,14.949545416973503,15.254065922853801,18.321924210318482,21.772077843177478,0.94,9.74,10
6,350,14.949545416973503,15.04959013639538,18.276978252486973,21.22574776766556,0.96,11.04,10
7,400,14.819160170741759,14.819160170741759,18.24260183842407,20.97484176581315,0.96,10.96,12
8,450,14.819160170741759,15.979591062525106,18.25494000040788,23.155592347112503,0.96,10.84,12
9,500,14.819160170741759,15.555294535724686,18.02673043990692,20.880697580112788,0.94,10.32,12
10,550,14.819160170741759,16.07907545067406,18.30124463536827,21.04959013639538,0.96,10.34,12
11,600,14.819160170741759,15.277154105707723,17.794760608787143,20.648199740725325,0.98,9.28,12
12,650,14.819160170741759,15.981742422927145,17.975669462909018,21.04939015319192,0.98,9.68,12
13,700,14.819160170741759,15.454515615568198,18.237351266438388,22.504834939252003,0.96,10.06,12
14,750,14.819160170741759,15.279673898594819,18.09475930966442,21.280697580112786,0.92,9.96,12
15,800,14.819160170741759,15.791924966748061,18.265611294581813,22.156141357987227,0.94,9.7,12
16,850,14.819160170741759,16.340063693621516,18.14869557524181,22.271085446759226,1.0,11.72,12
17,900,14.819160170741759,15.91547594742265,18.10887534771629,21.89680742632695,1.0,11,12
18,950,14.819160170741759,15.43469899493758,17.99340365363373,20.912833614050058,1.0,10.5,12
19,1000,14.819160170741759,16.022902093797256,18.156438544020524,20.827636339397174,0.96,10.8,12
20,1050,14.819160170741759,16.144616584663204,17.953351377006083,20.715823125451337,1.0,9.46,12
21,1100,14.819160170741759,15.588435821108957,18.165468230288404,21.007135583350035,0.98,10.22,12
22,1150,14.819160170741759,16.060701700396553,18.55412287013452,21.920526275297412,0.9,10.24,12
23,1200,14.819160170741759,15.909447398198282,17.790221823374278,22.23861278752583,1.0,10,12
24,1250,14.819160170741759,15.91916017074176,18.25177432514199,21.064965543462904,0.94,10.2,12
25,1300,14.819160170741759,15.655277766926236,18.23096719162035,20.91547594742265,0.96,10.16,12
26,1350,14.819160170741759,15.833630940518894,18.14638166958325,21.509447398198283,0.94,11.5,12
27,1400,14.819160170741759,15.660107523773828,18.029957999620407,20.648199740725325,1.0,10.4,12
28,1450,14.819160170741759,15.84400902933387,17.832871301398892,20.648199740725325,1.0,11.1,12
29,1500,14.819160170741759,15.467670500619608,17.793125814149114,20.772077843177478,0.96,10.72,12
30,1550,14.819160170741759,15.955133376499415,18.16615035767538,21.07156333832011,0.98,10.2,12
31,1600,14.819160170741759,15.526109321823089,18.09003960766973,20.648199740725325,0.94,8.94,12
32,1650,14.819160170741759,15.633959855479073,18.301290378719166,21.32987251894456,0.94,9.42,12
33,1700,14.819160170741759,15.87571129984594,18.118107091024434,20.7219040425837,0.94,10.46,12
34,1750,14.819160170741759,15.61058907144937,18.179707873389276,21.782306905057553,0.94,9.04,12
