generation,evaluations,best_so_far,population_best,population_mean,population_worst,unique_fraction,mean_modules,best_modules
0,10,16.024845673131658,16.024845673131658,17.340993439743826,18.647288270665545,1.0,10.3,14
1,20,15.770540018881466,15.770540018881466,16.2799842425526,17.14131112314674,1.0,11.9,11
2,30,15.305167809266791,15.305167809266791,16.34223236453622,17.424451190127584,0.9,10.1,11
3,40,15.20185121722126,15.20185121722126,15.701421256626029,16.340063693621516,0.9,11.3,11
4,50,14.467670500619608,14.467670500619608,15.68707619639548,16.439635614091387,1.0,10.6,11
5,60,14.467670500619608,14.467670500619608,15.417410597949797,16.20936130717624,1.0,10.9,11
