seed,fitness_k5_minus_k2,auc_k5_minus_k2,diversity_k5_minus_k2
11,0.14721359549995938,-0.03646569036716585,0.0
22,-0.45401094290194166,-0.5738636557166341,0.0
33,0.026572990485554726,-0.10378078000465152,-0.040000000000000036
44,-0.7633249580710793,-0.544228895497211,0.0
55,0.6017860041797221,0.11978906460622696,-0.06000000000000005
