fitness,mean_distance,std_across_targets,modules,generation,evaluation_index,method,seed,evaluations,seconds,final_unique_fraction,final_mean_modules,convergence_auc
12.299999999999999,12.1,0.2,14,98,4907,ea_k2,11,5050,12.263519300002372,1.0,13.06,13.29096537419614
13.343908891458577,11.5,1.8439088914585775,12,71,3564,ea_k2,22,5050,11.465350700000272,0.98,10.32,13.773380466388847
12.56332495807108,11.9,0.66332495807108,13,80,4014,ea_k2,33,5050,11.869914599999902,1.0,10.8,13.19516418176759
12.76332495807108,12.1,0.66332495807108,14,84,4240,ea_k2,44,5050,15.815562499999942,1.0,12.98,13.337889493255469
12.447213595499958,12.0,0.4472135954999579,14,92,4646,ea_k2,55,5050,12.072473500000342,1.0,12.04,13.255034133753835
12.447213595499958,12.0,0.4472135954999579,14,94,4743,ea_k5,11,5050,13.350578599998698,1.0,13.2,13.254499683828975
12.889897948556635,12.4,0.4898979485566356,14,54,2740,ea_k5,22,5050,13.331116499997734,0.98,11.96,13.199516810672213
12.589897948556635,12.1,0.4898979485566356,13,77,3886,ea_k5,33,5050,12.24699640000108,0.96,12.08,13.091383401762938
12.0,12.0,0.0,15,97,4856,ea_k5,44,5050,13.481108899999526,1.0,13.94,12.793660597758258
13.04899959967968,11.8,1.2489995996796797,13,44,2212,ea_k5,55,5050,12.578280800000357,0.94,12.52,13.374823198360062
14.024845673131658,12.0,2.0248456731316584,12,14,716,random,11,5050,10.392197399996803,0.96,10.68,14.223839863347425
14.238612787525831,11.5,2.7386127875258306,12,31,1597,random,22,5050,10.084492799996951,1.0,10.68,14.418355629753462
14.772077843177478,12.1,2.6720778431774774,11,66,3337,random,33,5050,10.05076139999801,0.92,10.46,14.82589964387067
14.174021572639983,11.3,2.874021572639983,11,96,4811,random,44,5050,10.21443250000084,1.0,11.08,14.667368702481344
14.368438714135813,12.8,1.5684387141358123,15,31,1599,random,55,5050,10.233782600000268,0.96,10.84,14.578261642593402
