method,generation,evaluations,best_so_far_mean,best_so_far_sd,unique_fraction_mean,unique_fraction_sd,mean_modules_mean,mean_modules_sd
ea_k2,24,1250,13.599809502535706,0.15414256137971002,0.988,0.017888543819998333,11.42,1.0110390694725895
ea_k2,25,1300,13.599809502535706,0.15414256137971002,0.98,0.014142135623730963,11.235999999999999,1.1908316421728138
ea_k2,26,1350,13.576374267884043,0.13572458867170706,0.988,0.017888543819998333,11.08,1.1578428218026833
ea_k2,27,1400,13.513340791772436,0.17937139591107917,0.992,0.010954451150103331,11.136,0.9147021373102827
ea_k2,28,1450,13.456749642698277,0.1944082555059494,0.992,0.010954451150103331,10.904,0.9162314118169053
ea_k2,29,1500,13.45043738552544,0.2011651135338866,0.992,0.010954451150103331,11.2,0.9871170143402451
ea_k2,30,1550,13.45043738552544,0.2011651135338866,0.98,0.014142135623730963,11.148,0.7728648005958094
ea_k2,31,1600,13.45043738552544,0.2011651135338866,0.988,0.017888543819998333,10.788,0.6225110440787379
ea_k2,32,1650,13.45043738552544,0.2011651135338866,0.992,0.017888543819998333,10.744,1.052938744657067
ea_k2,33,1700,13.45043738552544,0.2011651135338866,0.988,0.010954451150103331,10.364,0.8984876181673287
ea_k2,34,1750,13.443995472613022,0.20882036081552707,0.98,0.020000000000000018,10.52,1.0104454463255297
ea_k2,35,1800,13.379182677257308,0.21823454274912538,0.996,0.008944271909999166,10.828,0.9486411334113654
ea_k2,36,1850,13.379182677257308,0.21823454274912538,0.996,0.008944271909999166,10.620000000000001,0.9830564581955605
ea_k2,37,1900,13.364544181180033,0.22085383175942044,1.0,0.0,10.684,0.5056480989779356
ea_k2,38,1950,13.364544181180033,0.22085383175942044,1.0,0.0,10.536,0.6562621427448024
ea_k2,39,2000,13.331969557891746,0.24295152978590587,0.988,0.010954451150103331,10.584,1.0043306228528528
ea_k2,40,2050,13.331969557891746,0.24295152978590587,0.984,0.026076809620810618,10.616,0.900155542114806
ea_k2,41,2100,13.305557419425266,0.25371405912758455,0.98,0.014142135623730963,10.652,0.7198055292924613
ea_k2,42,2150,13.305557419425266,0.25371405912758455,0.996,0.008944271909999166,10.824,0.8037910176158977
ea_k2,43,2200,13.251271140802103,0.3185016137635634,0.996,0.008944271909999166,10.852,0.5341535359800588
ea_k2,44,2250,13.251271140802103,0.3185016137635634,0.988,0.017888543819998333,11.332,0.3372239611889997
ea_k2,45,2300,13.251271140802103,0.3185016137635634,0.996,0.008944271909999166,11.244,0.3528172331391989
ea_k2,46,2350,13.251271140802103,0.3185016137635634,0.98,0.014142135623730963,11.283999999999999,0.5911683347406219
ea_k2,47,2400,13.251271140802103,0.3185016137635634,0.992,0.010954451150103331,11.236,0.9945250122545938
ea_k2,48,2450,13.178895573332332,0.37685205465102856,0.988,0.017888543819998333,11.3,0.5446099521676045
ea_k2,49,2500,13.178895573332332,0.37685205465102856,0.988,0.010954451150103331,11.176,0.5719090836837617
ea_k2,50,2550,13.178895573332332,0.37685205465102856,0.992,0.017888543819998333,11.288,0.8589062812670539
ea_k2,51,2600,13.178895573332332,0.37685205465102856,0.98,0.024494897427831803,10.892,0.5430653735969548
ea_k2,52,2650,13.178895573332332,0.37685205465102856,0.984,0.03577708763999662,11.164,0.6124377519389217
ea_k2,53,2700,13.161672056535147,0.34457884193382066,0.988,0.017888543819998333,11.136,0.47210168396225816
ea_k2,54,2750,13.161672056535147,0.34457884193382066,0.988,0.010954451150103331,11.216000000000001,1.2210978666757224
ea_k2,55,2800,13.161672056535147,0.34457884193382066,0.992,0.010954451150103331,11.072000000000001,0.8933756208896679
ea_k2,56,2850,13.161672056535147,0.34457884193382066,0.98,0.014142135623730963,11.1,0.9045440840556089
ea_k2,57,2900,13.161672056535147,0.34457884193382066,0.992,0.017888543819998333,11.064,1.0748395229056291
ea_k2,58,2950,13.161672056535147,0.34457884193382066,0.984,0.016733200530681527,10.988,0.9790403464617786
